 95. DistanceFromHome=1_10 NumCompaniesWorked=0_3 OverTime=No 507 ==> Attrition=No 466    conf:(0.92)
 96. BusinessTravel=Travel_Rarely StockOptionLevel=1 420 ==> Attrition=No 386    conf:(0.92)
 97. NumCompaniesWorked=0_3 OverTime=No WorkLifeBalance=3 456 ==> Attrition=No 419    conf:(0.92)
 98. DistanceFromHome=1_10 OverTime=No WorkLifeBalance=3 YearsSinceLastPromotion=0_5 382 ==> Attrition=No 351    conf:(0.92)
 99. DistanceFromHome=1_10 NumCompaniesWorked=0_3 OverTime=No YearsSinceLastPromotion=0_5 431 ==> Attrition=No 396    conf:(0.92)
100. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 332 ==> Attrition=No 305    conf:(0.92)
101. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No PerformanceRating=3 392 ==> Attrition=No 360    conf:(0.92)
102. DistanceFromHome=1_10 OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 392 ==> Attrition=No 360    conf:(0.92)
103. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No YearsSinceLastPromotion=0_5 404 ==> Attrition=No 371    conf:(0.92)
104. ï»¿Age=33_46 DistanceFromHome=1_10 PerformanceRating=3 YearsSinceLastPromotion=0_5 355 ==> Attrition=No 326    conf:(0.92)
105. DistanceFromHome=1_10 OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 354 ==> Attrition=No 325    conf:(0.92)
106. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No YearsAtCompany=0_13 415 ==> Attrition=No 381    conf:(0.92)
107. ï»¿Age=33_46 MaritalStatus=Married 329 ==> Attrition=No 302    conf:(0.92)
108. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No PerformanceRating=3 YearsAtCompany=0_13 341 ==> Attrition=No 313    conf:(0.92)
109. DistanceFromHome=1_10 StockOptionLevel=1 YearsAtCompany=0_13 353 ==> Attrition=No 324    conf:(0.92)
110. Department=Research & Development DistanceFromHome=1_10 OverTime=No YearsAtCompany=0_13 438 ==> Attrition=No 402    conf:(0.92)
111. DistanceFromHome=1_10 Gender=Male NumCompaniesWorked=0_3 OverTime=No 328 ==> Attrition=No 301    conf:(0.92)
112. MaritalStatus=Married OverTime=No TotalWorkingYears=0_13 340 ==> Attrition=No 312    conf:(0.92)
113. MaritalStatus=Married OverTime=No TotalWorkingYears=0_13 YearsAtCompany=0_13 340 ==> Attrition=No 312    conf:(0.92)
114. MaritalStatus=Married OverTime=No PerformanceRating=3 YearsAtCompany=0_13 352 ==> Attrition=No 323    conf:(0.92)
115. NumCompaniesWorked=0_3 OverTime=No WorkLifeBalance=3 YearsSinceLastPromotion=0_5 387 ==> Attrition=No 355    conf:(0.92)
116. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 399 ==> Attrition=No 366    conf:(0.92)
117. BusinessTravel=Travel_Rarely OverTime=No TotalWorkingYears=0_13 WorkLifeBalance=3 326 ==> Attrition=No 299    conf:(0.92)
118. BusinessTravel=Travel_Rarely OverTime=No TotalWorkingYears=0_13 WorkLifeBalance=3 YearsAtCompany=0_13 326 ==> Attrition=No 299    conf:(0.92)
119. Department=Research & Development DistanceFromHome=1_10 OverTime=No PerformanceRating=3 YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 326 ==> Attrition=No 299    conf:(0.92)
120. Department=Research & Development DistanceFromHome=1_10 OverTime=No PerformanceRating=3 YearsAtCompany=0_13 362 ==> Attrition=No 332    conf:(0.92)
121. ï»¿Age=33_46 DistanceFromHome=1_10 PerformanceRating=3 422 ==> Attrition=No 387    conf:(0.92)
122. DistanceFromHome=1_10 JobInvolvement=3 OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 325 ==> Attrition=No 298    conf:(0.92)
123. Department=Research & Development DistanceFromHome=1_10 OverTime=No YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 397 ==> Attrition=No 364    conf:(0.92)
